do_jump_id,command,command_name,latitude,longitude,altitude_m,speed_mps,spray_on
91,16,WAYPOINT_SPRAY,54.1764233368,12.3113157869,10.0,3.5,False
92,16,WAYPOINT_TURN,54.1764400593,12.3115210546,10.0,3.5,False
93,16,WAYPOINT_SPRAY,54.1764455501,12.3117668946,10.0,3.5,False
94,16,WAYPOINT_TURN,54.1764467375,12.3118200584,10.0,3.5,False
95,16,WAYPOINT_SPRAY,54.1764531576,12.3121075429,10.0,3.5,False
96,16,WAYPOINT_TURN,54.1764644232,12.3120684961,10.0,3.5,False
97,16,WAYPOINT_SPRAY,54.1764635621,12.3120299345,10.0,3.5,False
98,16,WAYPOINT_TURN,54.1764567637,12.3117255248,10.0,3.5,False
99,16,WAYPOINT_SPRAY,54.1764530015,12.3115570814,10.0,3.5,False
100,16,WAYPOINT_TURN,54.1764659437,12.3115931082,10.0,3.5,False
101,16,WAYPOINT_SPRAY,54.1764679773,12.3116841549,10.0,3.5,False
102,16,WAYPOINT_TRANSIT,54.1759350193,12.3122207545,10.0,3.5,False
103,16,WAYPOINT_SPRAY,54.1759330261,12.3121314957,10.0,3.5,False
104,16,WAYPOINT_TURN,54.1759203422,12.3121070306,10.0,3.5,False
105,16,WAYPOINT_SPRAY,54.175924168,12.3122783568,10.0,3.5,False
106,16,WAYPOINT_TURN,54.1759123912,12.3122945091,10.0,3.5,False
107,16,WAYPOINT_SPRAY,54.1759080839,12.3121016192,10.0,3.5,False
108,16,WAYPOINT_TURN,54.1758959997,12.3121040086,10.0,3.5,False
109,16,WAYPOINT_SPRAY,54.1759005709,12.3123087169,10.0,3.5,False
110,16,WAYPOINT_TURN,54.1758884509,12.3123095032,10.0,3.5,False
111,16,WAYPOINT_SPRAY,54.1758839155,12.3121063979,10.0,3.5,False
112,16,WAYPOINT_TURN,54.1758718313,12.3121087873,10.0,3.5,False
113,16,WAYPOINT_SPRAY,54.175876331,12.3123102896,10.0,3.5,False
114,16,WAYPOINT_TURN,54.175864211,12.3123110759,10.0,3.5,False
115,16,WAYPOINT_SPRAY,54.1758597472,12.3121111767,10.0,3.5,False
116,16,WAYPOINT_TURN,54.175847663,12.3121135661,10.0,3.5,False
117,16,WAYPOINT_SPRAY,54.175852091,12.3123118623,10.0,3.5,False
118,16,WAYPOINT_TURN,54.175839971,12.3123126486,10.0,3.5,False
119,16,WAYPOINT_SPRAY,54.1758355788,12.3121159554,10.0,3.5,False
120,16,WAYPOINT_TURN,54.1758234981,12.3121185002,10.0,3.5,False
121,16,WAYPOINT_SPRAY,54.1758278511,12.312313435,10.0,3.5,False
122,16,WAYPOINT_TURN,54.1758157311,12.3123142214,10.0,3.5,False
123,16,WAYPOINT_SPRAY,54.1758114882,12.3121242169,10.0,3.5,False
124,16,WAYPOINT_TURN,54.1757994784,12.3121299336,10.0,3.5,False
125,16,WAYPOINT_SPRAY,54.1758036111,12.3123150077,10.0,3.5,False
126,16,WAYPOINT_TURN,54.1757910721,12.3122970287,10.0,3.5,False
127,16,WAYPOINT_SPRAY,54.1757874685,12.3121356503,10.0,3.5,False
128,16,WAYPOINT_TURN,54.1757754586,12.312141367,10.0,3.5,False
129,16,WAYPOINT_SPRAY,54.1757785029,12.3122776985,10.0,3.5,False
130,16,WAYPOINT_TURN,54.1757659338,12.3122583683,10.0,3.5,False
131,16,WAYPOINT_SPRAY,54.1757634487,12.3121470837,10.0,3.5,False
132,16,WAYPOINT_TURN,54.1757516717,12.3121632292,10.0,3.5,False
133,16,WAYPOINT_SPRAY,54.1757533646,12.3122390381,10.0,3.5,False
134,16,WAYPOINT_TRANSIT,54.1760825742,12.3143635905,10.0,3.5,False
135,16,WAYPOINT_SPRAY,54.1760849324,12.3144692846,10.0,3.5,False
136,16,WAYPOINT_TURN,54.1761058922,12.3148647297,10.0,3.5,False
137,16,WAYPOINT_SPRAY,54.1761042083,12.314789248,10.0,3.5,False
138,16,WAYPOINT_TURN,54.1760990345,12.3145573394,10.0,3.5,False
139,16,WAYPOINT_SPRAY,54.1760940329,12.3143331706,10.0,3.5,False
140,16,WAYPOINT_TURN,54.1761054917,12.3143027506,10.0,3.5,False
141,16,WAYPOINT_SPRAY,54.1761114409,12.3145693882,10.0,3.5,False
142,16,WAYPOINT_TURN,54.1761160488,12.3147759306,10.0,3.5,False
143,16,WAYPOINT_SPRAY,54.1761182226,12.314873376,10.0,3.5,False
144,16,WAYPOINT_TURN,54.176130553,12.3148820223,10.0,3.5,False
145,16,WAYPOINT_SPRAY,54.1761278892,12.3147626132,10.0,3.5,False
146,16,WAYPOINT_TURN,54.1761238472,12.3145814371,10.0,3.5,False
147,16,WAYPOINT_SPRAY,54.1761169505,12.3142723306,10.0,3.5,False
148,16,WAYPOINT_TURN,54.1761284092,12.3142419106,10.0,3.5,False
149,16,WAYPOINT_SPRAY,54.1761362536,12.3145934859,10.0,3.5,False
150,16,WAYPOINT_TURN,54.1761397296,12.3147492958,10.0,3.5,False
151,16,WAYPOINT_SPRAY,54.1761428168,12.3148876799,10.0,3.5,False
152,16,WAYPOINT_TURN,54.1761548559,12.3148832668,10.0,3.5,False
153,16,WAYPOINT_SPRAY,54.1761513017,12.3147239513,10.0,3.5,False
154,16,WAYPOINT_TURN,54.1761488342,12.3146133492,10.0,3.5,False
155,16,WAYPOINT_SPRAY,54.176139868,12.3142114906,10.0,3.5,False
156,16,WAYPOINT_TURN,54.1761513267,12.3141810706,10.0,3.5,False
157,16,WAYPOINT_SPRAY,54.1761619731,12.3146582341,10.0,3.5,False
158,16,WAYPOINT_TURN,54.1761620147,12.3146600968,10.0,3.5,False
